Jahr,Kanton,Wohnbevölkerung am 31.12.2013,Wirtschaftsart (NOGA 2008),Grössenklasse,Arbeitsstätten,Beschäftigte,Beschäftigte / Wohnbevolkerung,Beschäftigte Männer,Beschäftigte Frauen,Vollzeitäquivalente
2011,Zürich,1425538,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,309,961,0.0006741315,145,816,646.1
2011,Zürich,1425538,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,15,327,0.0002293871,116,211,274.2
2011,Zürich,1425538,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,1,103,7.22534229182246E-005,39,64,84.7
2011,Zürich,1425538,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Bern / Berne,1001281,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,281,866,0.0008648921,105,761,546.3
2011,Bern / Berne,1001281,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,8,184,0.0001837646,62,122,149.2
2011,Bern / Berne,1001281,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Bern / Berne,1001281,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Luzern,390349,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,97,371,0.0009504315,52,319,245.6
2011,Luzern,390349,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,27,6.91688719581708E-005,16,11,21.8
2011,Luzern,390349,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Luzern,390349,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Uri,35865,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,6,26,0.0007249408,1,25,13.4
2011,Uri,35865,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2011,Uri,35865,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Uri,35865,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Schwyz,151396,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,46,148,0.0009775688,16,132,94.6
2011,Schwyz,151396,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,29,0.0001915506,17,12,26.5
2011,Schwyz,151396,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Schwyz,151396,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Obwalden,36507,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,10,31,0.0008491522,2,29,18.4
2011,Obwalden,36507,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2011,Obwalden,36507,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Obwalden,36507,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Nidwalden,41888,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,8,26,0.0006207028,4,22,16.7
2011,Nidwalden,41888,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2011,Nidwalden,41888,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Nidwalden,41888,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Glarus,39593,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,6,14,0.0003535979,0,14,9.1
2011,Glarus,39593,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2011,Glarus,39593,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Glarus,39593,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Zug,118118,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,26,112,0.0009482043,19,93,72.2
2011,Zug,118118,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,13,0.0001100594,4,9,10.4
2011,Zug,118118,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
