Jahr,Kanton,Wirtschaftsart (NOGA 2008),Grössenklasse,Arbeitsstätten,Beschäftigte,Beschäftigte Männer,Beschäftigte Frauen,Vollzeitäquivalente
2011,Zürich,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,309,961,145,816,646.1
2011,Zürich,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,15,327,116,211,274.2
2011,Zürich,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,1,103,39,64,84.7
2011,Zürich,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Bern / Berne,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,281,866,105,761,546.3
2011,Bern / Berne,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,8,184,62,122,149.2
2011,Bern / Berne,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Bern / Berne,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Luzern,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,97,371,52,319,245.6
2011,Luzern,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,27,16,11,21.8
2011,Luzern,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Luzern,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Uri,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,6,26,1,25,13.4
2011,Uri,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2011,Uri,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Uri,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Schwyz,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,46,148,16,132,94.6
2011,Schwyz,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,29,17,12,26.5
2011,Schwyz,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
